Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
biscuiterie-jules-destrooper-cinnamon-butter-thins,Biscuiterie Jules Destrooper - Cinnamon butter thins,"<p>We are here to make you and your kids happy. Eat sweets, be happy and don't forget to come back to our sweets store , and we always have something new for you!</p>",Sweets' King,,Jelly Belly,"",true,Title,Default Title,,,,,"",0.0,shopify,98,deny,manual,14.00,,true,true,,https://cdn.shopify.com/s/files/1/0856/1420/products/milk_chocolate_and_caramel_florentines_1.png?v=1430838514,1,,false,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
biscuiterie-jules-destrooper-cinnamon-butter-thins,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0856/1420/products/milk_chocolate_and_caramel_florentines_2.png?v=1430838514,2,,,,,,,,,,,,,,,,,,,,,,,,,,
biscuiterie-jules-destrooper-cinnamon-butter-thins,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0856/1420/products/milk_chocolate_and_caramel_florentines_3.png?v=1430838514,3,,,,,,,,,,,,,,,,,,,,,,,,,,
biscuiterie-jules-destrooper-lace-biscuits-with-cashew-nuts,Biscuiterie Jules Destrooper - Lace biscuits with Cashew nuts,<p>Sweets don't have age limits and it doesn't matter how old you are because we all become kids when see favorite chocolate or good old muffins made according to the grandmother's recipe. Our staff will help you to make order fast and seamlessly and the delivery system will surprise you with amazing quickness.</p>,Sweets' King,,Gum,"",true,Title,Default Title,,,,,"",0.0,shopify,94,deny,manual,32.00,,true,true,,https://cdn.shopify.com/s/files/1/0856/1420/products/hattie___blythe_s_loveberry_sherbert_1.png?v=1430838509,1,,false,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
biscuiterie-jules-destrooper-lace-biscuits-with-cashew-nuts,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0856/1420/products/hattie___blythe_s_loveberry_sherbert_2.png?v=1430838509,2,,,,,,,,,,,,,,,,,,,,,,,,,,
biscuiterie-jules-destrooper-lace-biscuits-with-cashew-nuts,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0856/1420/products/hattie___blythe_s_loveberry_sherbert_3.png?v=1430838509,3,,,,,,,,,,,,,,,,,,,,,,,,,,
boiled-sweets-filled-with-speculoos,Boiled sweets filled with speculoos,"<p>Selling candies and chocolate was always a noble business and it requires some magic, a little bit of sugar and good old recipes realized in our sweets. Modern sweet stores cannot replicate unique charm of candy shops but there is no doubt that you'll feel it from the very first second of your visit at our store.</p>",Sweets' King,,Sugar Free,Sit amet,true,Title,Default Title,,,,,"",0.0,shopify,94,deny,manual,23.00,,true,true,,https://cdn.shopify.com/s/files/1/0856/1420/products/hattie___blythe_s_heart_of_gold_chocolate_hearts_1.png?v=1430838505,1,,false,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
boiled-sweets-filled-with-speculoos,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0856/1420/products/hattie___blythe_s_heart_of_gold_chocolate_hearts_2.png?v=1430838505,2,,,,,,,,,,,,,,,,,,,,,,,,,,
boiled-sweets-filled-with-speculoos,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0856/1420/products/hattie___blythe_s_heart_of_gold_chocolate_hearts_3.png?v=1430838505,3,,,,,,,,,,,,,,,,,,,,,,,,,,
box-of-9-handcrafted-dark-chocolate-truffles,Box of 9 Handcrafted Dark Chocolate Truffles,"<p>It has never been easier to shop sweets than it is now with our shop! We are glad to welcome you at our chocolate kingdom and sincerely hope that you'll stay satisfied during your visit. Our company cares about premium quality and traditions. Smiling customers and a wide range of premium goods at fair prices , and what can be better than that?</p>",Sweets' King,,Nestle,Sit amet,true,Title,Default Title,,,,,"",0.0,shopify,98,deny,manual,15.00,,true,true,,https://cdn.shopify.com/s/files/1/0856/1420/products/hattie___blythe_confectionery___sweet_on_you_strawberry_lovelumps_1.png?v=1430838501,1,,false,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
box-of-9-handcrafted-dark-chocolate-truffles,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0856/1420/products/hattie___blythe_confectionery___sweet_on_you_strawberry_lovelumps_2.png?v=1430838501,2,,,,,,,,,,,,,,,,,,,,,,,,,,
box-of-9-handcrafted-dark-chocolate-truffles,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0856/1420/products/hattie___blythe_confectionery___sweet_on_you_strawberry_lovelumps_3.png?v=1430838501,3,,,,,,,,,,,,,,,,,,,,,,,,,,
cinnamon-biscuits-coated-in-chocolate,Cinnamon biscuits coated in chocolate,"<p>Eat sweets, be happy and don't forget to come back to our sweets store , and we always have something new for you! It has never been easier to shop sweets than it is now with our shop! We are glad to welcome you at our chocolate kingdom and sincerely hope that you'll stay satisfied during your visit. Modern sweet stores cannot replicate unique charm of candy shops but there is no doubt that you'll feel it from the very first second of your visit at our store.</p>",Sweets' King,,Truffles,Sit amet,true,Title,Default Title,,,,,"",0.0,shopify,99,deny,manual,6.00,19.00,true,true,,https://cdn.shopify.com/s/files/1/0856/1420/products/gobstopper_fun_bag_1.png?v=1430838496,1,,false,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
cinnamon-biscuits-coated-in-chocolate,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0856/1420/products/gobstopper_fun_bag_2.png?v=1430838496,2,,,,,,,,,,,,,,,,,,,,,,,,,,
cinnamon-biscuits-coated-in-chocolate,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0856/1420/products/gobstopper_fun_bag_3.png?v=1430838496,3,,,,,,,,,,,,,,,,,,,,,,,,,,
cola-cubes,Cola cubes,<p>We are here to make you and your kids happy.</p>,Sweets' King,,Lollipops,Sit amet,true,Title,Default Title,,,,,"",0.0,shopify,96,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/0856/1420/products/confiserie_afchain_-_betises_from_cambrai_1.png?v=1430838492,1,,false,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
cola-cubes,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0856/1420/products/confiserie_afchain_-_betises_from_cambrai_2.png?v=1430838492,2,,,,,,,,,,,,,,,,,,,,,,,,,,
cola-cubes,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0856/1420/products/confiserie_afchain_-_betises_from_cambrai_3.png?v=1430838492,3,,,,,,,,,,,,,,,,,,,,,,,,,,
confiserie-afchain-betises-from-cambrai,Confiserie Afchain - Betises from Cambrai,<p>Sweets don't have age limits and it doesn't matter how old you are because we all become kids when see favorite chocolate or good old muffins made according to the grandmother's recipe. Our staff will help you to make order fast and seamlessly and the delivery system will surprise you with amazing quickness.</p>,Sweets' King,,Chocolate heaven,Sit amet,true,Title,Default Title,,,,,"",0.0,shopify,100,deny,manual,22.00,,true,true,,https://cdn.shopify.com/s/files/1/0856/1420/products/cola_cubes_1.png?v=1430838487,1,,false,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
confiserie-afchain-betises-from-cambrai,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0856/1420/products/cola_cubes_2.png?v=1430838487,2,,,,,,,,,,,,,,,,,,,,,,,,,,
confiserie-afchain-betises-from-cambrai,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0856/1420/products/cola_cubes_3.png?v=1430838487,3,,,,,,,,,,,,,,,,,,,,,,,,,,
gobstopper-fun-bag,Gobstopper fun bag,"<p>Eat sweets, be happy and don't forget to come back to our sweets store , and we always have something new for you! It has never been easier to shop sweets than it is now with our shop! We are glad to welcome you at our chocolate kingdom and sincerely hope that you'll stay satisfied during your visit.</p>",Sweets' King,,Cakes,Sit amet,true,Size,100g,,,,,"",500.0,shopify,100,deny,manual,10.00,,true,true,"",https://cdn.shopify.com/s/files/1/0856/1420/products/cinnamon_biscuits_coated_in_chocolate_1.png?v=1430838483,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0856/1420/products/cinnamon_biscuits_coated_in_chocolate_1.png?v=1430838483,kg,,,true,,,true,,,active
gobstopper-fun-bag,,,,,,,,,500g,,,,,"",500.0,shopify,10,deny,manual,50.00,,true,true,"",https://cdn.shopify.com/s/files/1/0856/1420/products/cinnamon_biscuits_coated_in_chocolate_2.png?v=1430838483,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0856/1420/products/cinnamon_biscuits_coated_in_chocolate_2.png?v=1430838483,kg,,10.00,,,,,,,
gobstopper-fun-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0856/1420/products/cinnamon_biscuits_coated_in_chocolate_3.png?v=1430838483,3,,,,,,,,,,,,,,,,,,,,,,,,,,
hattie-blythe_s-heart-of-gold-chocolate-hearts,Hattie & Blythe_s Heart of Gold Chocolate Hearts,<p>Our staff will help you to make order fast and seamlessly and the delivery system will surprise you with amazing quickness. We are here to make you and your kids happy.</p>,Sweets' King,,Jelly Belly,Dolor,true,Title,Default Title,,,,,"",0.0,shopify,100,deny,manual,14.00,30.00,true,true,,https://cdn.shopify.com/s/files/1/0856/1420/products/box_of_9_handcrafted_dark_chocolate_truffles_1.png?v=1430838479,1,,false,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
hattie-blythe_s-heart-of-gold-chocolate-hearts,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0856/1420/products/box_of_9_handcrafted_dark_chocolate_truffles_2.png?v=1430838479,2,,,,,,,,,,,,,,,,,,,,,,,,,,
hattie-blythe_s-heart-of-gold-chocolate-hearts,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0856/1420/products/box_of_9_handcrafted_dark_chocolate_truffles_3.png?v=1430838479,3,,,,,,,,,,,,,,,,,,,,,,,,,,
hattie-blythe_s-loveberry-sherbert,Hattie & Blythe_s Loveberry Sherbert,<p>Modern sweet stores cannot replicate unique charm of candy shops but there is no doubt that you'll feel it from the very first second of your visit at our store. Sweets don't have age limits and it doesn't matter how old you are because we all become kids when see favorite chocolate or good old muffins made according to the grandmother's recipe.</p>,Sweets' King,,Gum,Dolor,true,Title,Default Title,,,,,"",0.0,shopify,100,deny,manual,30.00,,true,true,,https://cdn.shopify.com/s/files/1/0856/1420/products/boiled_sweets_filled_with_speculoos_1.png?v=1430838474,1,,false,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
hattie-blythe_s-loveberry-sherbert,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0856/1420/products/boiled_sweets_filled_with_speculoos_2.png?v=1430838474,2,,,,,,,,,,,,,,,,,,,,,,,,,,
hattie-blythe_s-loveberry-sherbert,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0856/1420/products/boiled_sweets_filled_with_speculoos_3.png?v=1430838474,3,,,,,,,,,,,,,,,,,,,,,,,,,,
hattie-blythe-confectionery-_-sweet-on-you-strawberry-lovelumps,Hattie & Blythe Confectionery _ Sweet On You Strawberry Lovelumps,"<p>Our company cares about premium quality and traditions. Smiling customers and a wide range of premium goods at fair prices , and what can be better than that? Selling candies and chocolate was always a noble business and it requires some magic, a little bit of sugar and good old recipes realized in our sweets.</p>",Sweets' King,,Sugar Free,Dolor,true,Title,Default Title,,,,,"",0.0,shopify,100,deny,manual,3.00,,true,true,,https://cdn.shopify.com/s/files/1/0856/1420/products/biscuiterie_jules_destrooper_-_lace_biscuits_with_cashew_nuts_1.png?v=1430838470,1,,false,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
hattie-blythe-confectionery-_-sweet-on-you-strawberry-lovelumps,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0856/1420/products/biscuiterie_jules_destrooper_-_lace_biscuits_with_cashew_nuts_2.png?v=1430838470,2,,,,,,,,,,,,,,,,,,,,,,,,,,
hattie-blythe-confectionery-_-sweet-on-you-strawberry-lovelumps,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0856/1420/products/biscuiterie_jules_destrooper_-_lace_biscuits_with_cashew_nuts_3.png?v=1430838470,3,,,,,,,,,,,,,,,,,,,,,,,,,,
milk-chocolate-and-caramel-florentines,Milk chocolate and caramel Florentines,"<p>We are here to make you and your kids happy. Eat sweets, be happy and don't forget to come back to our sweets store , and we always have something new for you!</p>",Sweets' King,,Nestle,Lorem ipsum,true,Title,Default Title,,,,,"",0.0,shopify,100,deny,manual,9.00,40.00,true,true,,https://cdn.shopify.com/s/files/1/0856/1420/products/biscuiterie_jules_destrooper_-_cinnamon_butter_thins_1.png?v=1430838466,1,,false,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
milk-chocolate-and-caramel-florentines,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0856/1420/products/biscuiterie_jules_destrooper_-_cinnamon_butter_thins_2.png?v=1430838466,2,,,,,,,,,,,,,,,,,,,,,,,,,,
milk-chocolate-and-caramel-florentines,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0856/1420/products/biscuiterie_jules_destrooper_-_cinnamon_butter_thins_3.png?v=1430838466,3,,,,,,,,,,,,,,,,,,,,,,,,,,
rhubarb-and-custard-boiled-sweets,Rhubarb and custard boiled sweets,<p>Sweets don't have age limits and it doesn't matter how old you are because we all become kids when see favorite chocolate or good old muffins made according to the grandmother's recipe. Our staff will help you to make order fast and seamlessly and the delivery system will surprise you with amazing quickness.</p>,Sweets' King,,Truffles,Lorem ipsum,true,Title,Default Title,,,,,"",0.0,shopify,100,deny,manual,17.00,,true,true,,https://cdn.shopify.com/s/files/1/0856/1420/products/biscuiterie_jules_destrooper_-_butter_speculoos_biscuits_1.png?v=1430838462,1,,false,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
rhubarb-and-custard-boiled-sweets,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0856/1420/products/biscuiterie_jules_destrooper_-_butter_speculoos_biscuits_2.png?v=1430838462,2,,,,,,,,,,,,,,,,,,,,,,,,,,
rhubarb-and-custard-boiled-sweets,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0856/1420/products/biscuiterie_jules_destrooper_-_butter_speculoos_biscuits_3.png?v=1430838462,3,,,,,,,,,,,,,,,,,,,,,,,,,,
rose-flavoured-boiled-sweets,Rose flavoured boiled sweets,"<p>Selling candies and chocolate was always a noble business and it requires some magic, a little bit of sugar and good old recipes realized in our sweets. Modern sweet stores cannot replicate unique charm of candy shops but there is no doubt that you'll feel it from the very first second of your visit at our store.</p>",Sweets' King,,Lollipops,Lorem ipsum,true,Title,Default Title,,,,,"",0.0,shopify,100,deny,manual,14.00,,true,true,,https://cdn.shopify.com/s/files/1/0856/1420/products/biscuiterie_jules_destrooper_-_butter_crumble_biscuits_1.png?v=1430838457,1,,false,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
rose-flavoured-boiled-sweets,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0856/1420/products/biscuiterie_jules_destrooper_-_butter_crumble_biscuits_2.png?v=1430838457,2,,,,,,,,,,,,,,,,,,,,,,,,,,
rose-flavoured-boiled-sweets,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0856/1420/products/biscuiterie_jules_destrooper_-_butter_crumble_biscuits_3.png?v=1430838457,3,,,,,,,,,,,,,,,,,,,,,,,,,,
satin-heart,Satin Heart,"<p>It has never been easier to shop sweets than it is now with our shop! We are glad to welcome you at our chocolate kingdom and sincerely hope that you'll stay satisfied during your visit. Our company cares about premium quality and traditions. Smiling customers and a wide range of premium goods at fair prices , and what can be better than that?</p>",Sweets' King,,Chocolate heaven,Lorem ipsum,true,Title,Default Title,,,,,"",0.0,shopify,100,deny,manual,19.00,20.00,true,true,,https://cdn.shopify.com/s/files/1/0856/1420/products/biscuiterie_jules_destrooper_-_almond_thins_1.png?v=1430838453,1,,false,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
satin-heart,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0856/1420/products/biscuiterie_jules_destrooper_-_almond_thins_2.png?v=1430838453,2,,,,,,,,,,,,,,,,,,,,,,,,,,
satin-heart,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0856/1420/products/biscuiterie_jules_destrooper_-_almond_thins_3.png?v=1430838453,3,,,,,,,,,,,,,,,,,,,,,,,,,,
